#  number  propos  accept  outside  inside  fg_inside  apo_inside
	17	0	0	31	9	9  	9
	18	0	0	 0	9 	9  	9
	19	0	0	21	9	9   	9
	20	0	0	26	9	9   	9
	81	1	1	-1	1	1	0
	88	1	1	-1	0	1  	0
	89	0	1	31	1	1  	0
	810	0	1	 0	1	1  	0
	826	0	1	21	1	1  	0
	812	0	1	26	1	1  	0
	813	0	1	31	0	1  	0
	814	0	1	 0	0	1  	0
	815	0	1	21	0	1  	0
	816	0	1	26	0	1 	0		
	781	1	1	-1	1	1	1 	
	788	1	1	-1	0	1	1   	
	789	0	1	31	1	1	1  	
	7810	0	1	 0	1	1	1  	
	7826	0	1	21	1	1	1  	
	7812	0	1	26	1	1	1  	
	7813	0	1	31	0	1	1  	
	7814	0	1	 0	0	1	1  	
	7815	0	1	21	0	1	1  	
	7816	0	1	26	0	1	1 	
	
